419,AP2/ERF
420,C2C2-Dof
421,ERF
422,AP2/ERF
423,MYB
424,C2C2-Gata
425,C2C2-Gata
426,bZIP
427,Trihelix
428,Others
429,Others
430,HSF
431,HSF
432,HSF
433,C2H2
434,Others
435,Others
436,Others
437,MADS
438,MYB
439,MYB related
440,MYB
441,MYB
442,MYB
443,MYB
444,MYB
445,NAC
446,NAC
447,Others
448,bZIP
449,Others
450,Others
451,Others
452,SBP
453,SBP
454,SBP
455,C2H2
456,bZIP
457,bZIP
458,bZIP
459,bZIP
460,WRKY
461,C2C2-Gata
462,C2C2-Gata
463,
464,MADS
465,MADS
466,MADS
467,MADS
468,NAC
469,NAC
470,Homeobox
471,Homeobox
472,Homeobox
473,MYB
474,ERF
475,ERF
476,ERF
477,MADS
478,ERF
479,NAC
480,Trihelix
481,C2C2-Gata
482,Others
483,ERF
484,Homeobox
485,ERF
486,bHLH
487,bHLH
488,BPC
489,bZIP
490,bZIP
491,bZIP
492,bZIP
493,CAMTA
494,ERF
495,ERF
496,NAC
497,C2C2-Dof
498,E2F-DP
499,E2F-DP
500,C2C2-Dof
501,C2C2-Dof
502,C2C2-Dof
503,ERF
504,ERF
505,Others
506,AP2/ERF
507,AP2/ERF
508,AP2/ERF
509,Others
510,MYB
511,C2C2-Gata
512,bZIP
513,Trihelix
514,Others
515,HSF
516,HSF
517,Others
518,MADS
519,MYB
520,MYB
521,MYB
522,MYB
523,MYB
524,MYB
525,NAC
526,NAC
527,bZIP
528,Others
529,Others
530,ERF
531,Others
532,bHLH
533,bHLH
534,REM
535,SBP
536,SBP
537,SBP
538,Others
539,bZIP
540,bZIP
541,Homeobox
542,Homeobox
543,WRKY
544,WRKY
545,WRKY
546,WRKY
547,WRKY
548,
549,MADS
550,MADS
551,Homeobox
552,Homeobox
553,Homeobox
554,ARR-B
555,MYB
556,ERF
557,ERF
558,ERF
559,Trihelix
560,Others
561,C2H2
562,HSF
563,HSF
564,ERF
565,BPC
566,bHLH
567,BPC
568,BPC
569,bHLH
570,bHLH
571,CAMTA
572,ERF
573,ERF
574,NAC
575,E2F-DP
576,E2F-DP
577,C2C2-Dof
578,ERF
579,AP2/ERF
580,AP2/ERF
581,AP2/ERF
582,AP2/ERF
583,Others
584,MYB
585,C2C2-Gata
586,C2C2-Gata
587,C2C2-Gata
588,Others
589,HSF
590,HSF
591,HSF
592,Others
593,Others
594,MADS
595,MYB reated
596,MYB
597,MYB
598,MYB
599,MYB
600,MYB
601,NAC
602,bZIP
603,Others
604,ERF
605,Others
606,REM
607,SBP
608,SBP
609,SBP
610,SBP
611,SBP
612,TCP
613,TCP
614,TCP
615,bZIP
616,Homeobox
617,Homeobox
618,C2C2-Gata
619,C2C2-Gata
620,
621,bZIP
622,Homeobox
623,Homeobox
624,ARR-B
625,ARR-B
626,MYB
627,others
628,ERF
629,WRKY
630,WRKY
631,WRKY
632,ERF
633,WRKY
634,ERF
635,WRKY
636,ERF
637,WRKY
638,Trihelix
639,GATA
640,WRKY
641,WRKY
642,GATA
643,WRKY
644,Homeobox
645,HSF
646,bHLH
647,BPC
648,bZIP
649,bZIP
650,bZIP
651,bZIP
652,bZIP
653,CAMTA
654,ERF
655,NAC
656,bZIP
657,E2F-DP
658,E2F-DP
659,C2C2-Dof
660,ERF
661,ERF
662,C2C2-Gata
663,bZIP
664,others
665,HSF
666,HSF
667,bZIP
668,Others
669,MYB
670,MYB
671,MYB
672,MYB
673,MYB
674,MYB
675,NAC
676,others
677,bZIP
678,Others
679,bHLH
680,ERF
681,ERF
682,ERF
683,AP2/ERF
684,SBP
685,SBP
686,SBP
687,bZIP
688,bZIP
689,bZIP
690,bZIP
691,WRKY
692,WRKY
693,WRKY
694,WRKY
695,
